movie,desc,rating,genres,casts,season,name,episode_link,movie_image-src,mp4_link-href,3gp_link-href
24,"In this concept drama, each season takes place within one 24 hour period. Day 1: Jack Bauer is the head of field ops for an elite team of CTU agents who uncover an assassination plot targeting Presidential nominee David Palmer. Meanwhile, Jack's strained marriage to his wife, Teri, is pushed to the brink by the sudden disappearance of their troubled teenage daughter. What will the next 24 hours hold?",4.8,null,"Kiefer Sutherland, Mary Lynn Rajskub, Carlos Bernard",Season 02,24,Episode 24,http://o2tvseries.com/res/tv_serials/29.jpg,http://o2tvseries.com/download/6688,http://o2tvseries.com/24-1/Season-02/Episode-24/index.html#
Scandal,"When you get into trouble there's only one person to call, Olivia Pope. Olivia is a professional 'fixer' who makes problems go away before anyone even knows they exist. For the moneyed, the powerful and even the President, Olivia is a legend in her field. Her spectacular success is mostly due to her unbreakable rule of always trust your gut. No matter how careful you are, when you do damage control for a living, you're bound to cause some damage to your own life. She and her crew eat, sleep, live and breathe crisis. Each week, as the team races against the clock to defuse intriguing new problems before they become full-blown disasters, they also have to deal with their own personal issues. They may call themselves 'gladiators in suits', but little by little, Olivia and her crew begin to reveal the chinks in their armor.",4.81,null,"Kerry Washington, Columbus Short, Darby Stanchfield",Season 05,Scandal,Episode 21 - Season Finale,http://o2tvseries.com/res/tv_serials/57.jpg,http://o2tvseries.com/download/18882,http://o2tvseries.com/Scandal/Season-05/Episode-21-Season-Finale/index.html#
White Collar,"The unlikely partnership between charming con artist Neal Caffrey and straightman FBI agent Peter Burke. Caffrey provides his expertise to help Burke catch other elusive criminals in exchange for his freedom, and together they prove that to solve the hardest crimes, you must hire the smartest criminal.",4.8,null,"Matt Bomer, Tim DeKay, Willie Garson",Season 02,White Collar,Episode 12,http://o2tvseries.com/res/tv_serials/45.jpg,http://o2tvseries.com/download/9458,http://o2tvseries.com/White-Collar/Season-02/Episode-12/index.html#
Scandal,"When you get into trouble there's only one person to call, Olivia Pope. Olivia is a professional 'fixer' who makes problems go away before anyone even knows they exist. For the moneyed, the powerful and even the President, Olivia is a legend in her field. Her spectacular success is mostly due to her unbreakable rule of always trust your gut. No matter how careful you are, when you do damage control for a living, you're bound to cause some damage to your own life. She and her crew eat, sleep, live and breathe crisis. Each week, as the team races against the clock to defuse intriguing new problems before they become full-blown disasters, they also have to deal with their own personal issues. They may call themselves 'gladiators in suits', but little by little, Olivia and her crew begin to reveal the chinks in their armor.",4.81,null,"Kerry Washington, Columbus Short, Darby Stanchfield",Season 06,Scandal,Episode 04,http://o2tvseries.com/res/tv_serials/57.jpg,http://o2tvseries.com/download/29283,http://o2tvseries.com/download/29282
The Magicians,A smart young man attends a college of magic in New York.,4.82,Fantasy,"Jade Tailor, Jason Ralph, Olivia Taylor Dudley",,,,,,
24,"In this concept drama, each season takes place within one 24 hour period. Day 1: Jack Bauer is the head of field ops for an elite team of CTU agents who uncover an assassination plot targeting Presidential nominee David Palmer. Meanwhile, Jack's strained marriage to his wife, Teri, is pushed to the brink by the sudden disappearance of their troubled teenage daughter. What will the next 24 hours hold?",4.8,null,"Kiefer Sutherland, Mary Lynn Rajskub, Carlos Bernard",Season 02,24,Episode 22,http://o2tvseries.com/res/tv_serials/29.jpg,http://o2tvseries.com/download/6684,http://o2tvseries.com/24-1/Season-02/Episode-22/index.html#
Supernatural,"Two brothers follow their father's footsteps as ""hunters"" fighting evil supernatural beings of many kinds including monsters, demons, and gods that roam the earth.",4.83,null,"Jared Padalecki, Jensen Ackles, Misha Collins",Season 04,Supernatural,Episode 22,http://o2tvseries.com/res/tv_serials/5.jpg,http://o2tvseries.com/download/2644,http://o2tvseries.com/Supernatural-2/Season-04/Episode-22/index.html#
Scandal,"When you get into trouble there's only one person to call, Olivia Pope. Olivia is a professional 'fixer' who makes problems go away before anyone even knows they exist. For the moneyed, the powerful and even the President, Olivia is a legend in her field. Her spectacular success is mostly due to her unbreakable rule of always trust your gut. No matter how careful you are, when you do damage control for a living, you're bound to cause some damage to your own life. She and her crew eat, sleep, live and breathe crisis. Each week, as the team races against the clock to defuse intriguing new problems before they become full-blown disasters, they also have to deal with their own personal issues. They may call themselves 'gladiators in suits', but little by little, Olivia and her crew begin to reveal the chinks in their armor.",4.81,null,"Kerry Washington, Columbus Short, Darby Stanchfield",Season 04,Scandal,Episode 22 - Season Finale,http://o2tvseries.com/res/tv_serials/57.jpg,http://o2tvseries.com/download/15512,http://o2tvseries.com/Scandal/Season-04/Episode-22-Season-Finale/index.html#
White Collar,"The unlikely partnership between charming con artist Neal Caffrey and straightman FBI agent Peter Burke. Caffrey provides his expertise to help Burke catch other elusive criminals in exchange for his freedom, and together they prove that to solve the hardest crimes, you must hire the smartest criminal.",4.8,null,"Matt Bomer, Tim DeKay, Willie Garson",Season 04,White Collar,Episode 16,http://o2tvseries.com/res/tv_serials/45.jpg,http://o2tvseries.com/download/9530,http://o2tvseries.com/White-Collar/Season-04/Episode-16/index.html#
Zoo,A young scientist searches to find out what's causing a rash of violent animal attacks.,4.79,null,"James Wolk, Kristen Connolly, Nonso Anozie",Season 01,Zoo,Episode 07,http://o2tvseries.com/res/tv_serials/145.jpg,http://o2tvseries.com/download/16150,http://o2tvseries.com/Zoo/Season-01/Episode-07/index.html#
Zoo,A young scientist searches to find out what's causing a rash of violent animal attacks.,4.79,null,"James Wolk, Kristen Connolly, Nonso Anozie",Season 02,Zoo,Episode 12 And Episode 13,http://o2tvseries.com/res/tv_serials/145.jpg,http://o2tvseries.com/download/19680,http://o2tvseries.com/Zoo/Season-02/Episode-12-And-Episode-13/index.html#
